au_id,source_stand_count,source_row_count,observed_bin_count,curve_point_count,age_min,age_max,assignment_weight_basis,ambiguous_stand_count,tie_break_stand_count,lexmatch_stand_count,lexmatch_alias_stand_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted
cmaunp_hw_cw_l,1,51,0,0,250,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cmaunp_yc_cw_l,1,51,0,0,250,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cmaunp_yc_hw_l,1,51,0,0,250,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_ba_cw_h,1,276,0,0,25,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_ba_cw_l,1,251,0,0,50,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_ba_hw_h,2,252,41,299,100,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,6.433868,0.006346,6.519845,True
cwhvh1_ba_hw_l,2,438,49,299,17,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,11.55439,0.006404,2.898474,True
cwhvh1_ba_hw_m,1,184,0,0,117,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_ba_ss_l,1,261,0,0,40,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_cw_ba_h,2,384,49,299,28,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,23.846078,0.01691,27.581222,True
cwhvh1_cw_ba_l,2,502,49,299,50,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.363522,0.00414,2.277151,True
cwhvh1_cw_dr_h,2,550,49,299,23,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.062727,0.006935,2.457053,True
cwhvh1_cw_dr_l,2,557,49,299,16,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.832108,0.006035,2.978966,True
cwhvh1_cw_dr_m,1,274,0,0,27,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_cw_h,15,2451,49,299,20,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,17.109981,0.017521,18.194414,True
cwhvh1_cw_hw_h,138,26066,49,299,16,546,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.50863,0.010046,7.16822,True
cwhvh1_cw_hw_l,172,24184,49,299,16,446,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,13.122967,0.018778,15.563198,True
cwhvh1_cw_hw_m,118,20417,49,299,15,546,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.81674,0.010498,8.279581,True
cwhvh1_cw_l,16,2413,49,299,23,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,33.603209,0.038523,41.631484,True
cwhvh1_cw_m,12,1563,49,299,21,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.270868,0.011029,5.007972,True
cwhvh1_cw_ss_h,5,1106,49,299,19,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,34.064339,0.027555,35.349263,True
cwhvh1_cw_ss_l,9,1396,49,299,22,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,6.553678,0.007604,3.361783,True
cwhvh1_cw_yc_h,14,2465,49,299,23,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,6.380933,0.006753,2.191408,True
cwhvh1_cw_yc_l,22,1853,49,299,20,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,13.781918,0.012764,16.031953,True
cwhvh1_cw_yc_m,11,22,0,0,362,390,shape_area_ha,0,0,0,0,False,insufficient_source_stands,,,,False
cwhvh1_dr_ba_l,1,251,0,0,50,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_dr_cw_h,1,290,0,0,11,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_dr_cw_l,1,292,0,0,9,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_dr_h,5,998,49,299,15,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,15.81732,0.035493,19.807686,True
cwhvh1_dr_hw_h,6,1098,49,299,24,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,2.213848,0.004307,1.185691,True
cwhvh1_dr_hw_l,6,1563,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,2.135911,0.004254,1.485337,True
cwhvh1_dr_hw_m,6,1467,49,299,25,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,2.504555,0.00324,1.625999,True
cwhvh1_dr_l,5,970,49,299,20,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,74.081448,0.088322,92.771758,True
cwhvh1_dr_m,5,990,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,49.518755,0.039923,61.734838,True
cwhvh1_dr_ss_h,1,240,0,0,61,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_dr_ss_l,1,277,0,0,24,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_fd_cw_l,2,336,49,299,16,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,66.93908,0.034449,83.535341,True
cwhvh1_fd_hw_h,1,254,0,0,47,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvh1_fd_hw_l,1,274,0,0,27,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
