au_id,base_au,si_level,accepted,selected_path,source_stand_count,age_min,age_max,max_volume,peak_age,peak_volume,terminal_volume,first_age_ge_1,first_age_ge_10,first_age_ge_50,volume_at_80,volume_at_120,volume_at_200,volume_at_250,terminal_uptick_from_post_peak_min,terminal_uptick_ratio,last_20_gain,last_50_gain,max_single_year_drop,max_single_year_gain,negative_year_count,large_negative_year_count,sign_change_count,shape_severity,shape_flags,recommended_action,lmh_order_violation_count,lmh_order_max_violation_m3ha
cwhvm1_ba_l,cwhvm1_ba,L,True,smoothed_bin_pchip,2,1,299,66.6768,299,66.6768,66.6768,39.0,88.0,298.0,8.049567,18.362322,28.7,28.073833,0.0,0.0,37.717123,38.594264,-1.494569,15.1784,5,0,2,critical,late_start_ge50_after_age160;last_20_year_gain;last_50_year_gain,apply_tail_constraint_or_terminal_cap,0,0.0
cwhvm1_fd_m,cwhvm1_fd,M,True,smoothed_bin_pchip,3,1,299,782.797714,261,782.797714,755.6,257.0,257.0,257.0,0.346844,0.346844,0.346844,0.346844,0.0,0.0,-13.813967,755.253156,-0.852572,156.540272,38,0,1,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_50_year_gain;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,3,966.259869
cwhvm2_fd_l,cwhvm2_fd,L,True,smoothed_bin_pchip,2,1,299,452.0,265,452.0,452.0,257.0,257.0,257.0,0.346844,0.346844,0.346844,0.346844,0.5,0.001106,0.199649,451.653156,-0.148,90.376771,0,0,0,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_50_year_gain,reject_current_fit_and_borrow_adjacent_au,0,0.0
cwhvm2_hm_cw_m,cwhvm2_hm_cw,M,True,smoothed_bin_pchip,2,1,299,290.964,261,290.964,286.5,257.0,257.0,257.0,0.298127,0.298127,0.298127,0.298127,0.0,0.0,-2.142857,286.201873,-0.190404,58.144419,0,0,0,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_50_year_gain;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,1,1048.480589
cwhvm2_hw_fd_l,cwhvm2_hw_fd,L,True,smoothed_bin_pchip,4,1,299,605.0,260,605.0,596.0,247.0,247.0,247.0,0.346844,0.346844,0.346844,448.069369,6.264832,0.010355,-1.314654,259.865847,-4.51839,111.938281,11,0,5,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_50_year_gain;wobbly_multi_extrema;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,1,288.065257
mhmm1_hw_cw_h,mhmm1_hw_cw,H,True,smoothed_bin_pchip,2,1,299,558.414771,235,558.414771,554.743733,72.0,104.0,135.0,2.053646,24.535501,478.755977,557.136464,0.143733,0.000257,-0.215379,-2.493958,-0.102474,18.231807,0,0,0,critical,late_start_ge10_after_age100;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,1,714.462591
mhmm1_yc_h,mhmm1_yc,H,True,smoothed_bin_pchip,3,1,299,273.0,295,273.0,213.928,247.0,247.0,247.0,0.298127,0.298127,0.298127,212.859625,0.0,0.0,-54.63724,54.376321,-22.856,53.389234,9,3,3,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_50_year_gain;large_single_year_drop;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,1,720.888226
mhmm1_yc_hw_m,mhmm1_yc_hw,M,True,smoothed_bin_pchip,4,1,299,105.368,299,105.368,105.368,247.0,247.0,250.0,0.325493,0.325493,0.325493,53.665099,0.0,0.0,37.092976,65.038464,-1.450344,14.824,5,0,2,critical,late_start_ge10_after_age100;late_start_ge50_after_age160;near_zero_to_old_age_then_jump;last_20_year_gain;last_50_year_gain;lmh_order_violation,reject_current_fit_and_borrow_adjacent_au,2,940.418902
cwhvh1_hw_h,cwhvh1_hw,H,True,smoothed_bin_pchip,18,1,299,688.019551,170,688.019551,679.056,3.0,7.0,16.0,461.6,598.152089,651.315132,664.928539,44.961632,0.065349,-8.299308,15.83309,-1.623176,7.82314,65,0,3,review,old_age_terminal_uptick;lmh_order_violation,apply_tail_constraint_or_terminal_cap,1,276.224921
cwhvh1_ss_hw_m,cwhvh1_ss_hw,M,True,smoothed_bin_pchip,18,1,299,1067.382056,160,1067.382056,726.219474,6.0,12.0,22.0,618.282303,930.576181,857.955315,703.601958,44.412328,0.041609,28.847424,20.056262,-7.698903,12.130945,109,30,3,review,last_20_year_gain;large_single_year_drop;lmh_order_violation,apply_tail_constraint_or_terminal_cap,3,503.729502
