record_id,source_package_id,source_sha256,document_component,pdf_page,reported_page_label,section_path,object_type,object_id,object_title,claim_text,normalized_value,units,comparison_topic,extraction_method,tool_versions,source_artifact,review_status,downstream_use,model_input_status,reviewer,reviewed_at_utc,notes
mp11-0001-claim_candidate,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,7,Page v,,claim_candidate,,,2.2 Land Base Composition ................................................................................... 4,,,inventory_yield,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Keyword-selected raw claim candidate; requires review before use.
mp11-0002-claim_candidate,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,7,Page v,,claim_candidate,,,4 TFL 6 AAC History .................................................................................................... 8,,,aac,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Keyword-selected raw claim candidate; requires review before use.
mp11-0003-claim_candidate,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,7,Page v,,claim_candidate,,,"10 Glossary (Province of British Columbia, 2008) ......................................................... 29",,,inventory_yield,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Keyword-selected raw claim candidate; requires review before use.
mp11-0004-figure,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,9,Page vii,,figure,Figure 1,TFL 6 Overview .............................................................................................. 3,Figure 1 TFL 6 Overview .............................................................................................. 3,,,metadata,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0005-figure,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,9,Page vii,,figure,Figure 2,THLB and NCLB Age Class Distributions ............................................................ 5,Figure 2 THLB and NCLB Age Class Distributions ............................................................ 5,,,land_base,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0006-figure,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,9,Page vii,,figure,Figure 3,THLB and NCLB Volume Class Distributions ....................................................... 5,Figure 3 THLB and NCLB Volume Class Distributions ....................................................... 5,,,land_base,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0007-table,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,10,Page viii,,table,Table 1,TFL 6 Licence Holders ...................................................................................... 7,Table 1 TFL 6 Licence Holders ...................................................................................... 7,,,metadata,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0008-table,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,10,Page viii,,table,Table 2,TFL 6 AAC History ........................................................................................... 8,Table 2 TFL 6 AAC History ........................................................................................... 8,,,aac,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0009-table,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,10,Page viii,,table,Table 3,TFL 6 Consolidations and Subdivisions ............................................................... 9,Table 3 TFL 6 Consolidations and Subdivisions ............................................................... 9,,,metadata,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
mp11-0010-table,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,management_plan_main,10,Page viii,,table,Table 4,TFL 6 Major Boundary Changes ....................................................................... 10,Table 4 TFL 6 Major Boundary Changes ....................................................................... 10,,,metadata,PyMuPDF text extraction with regex triage,"{""pymupdf"": ""1.27.2.3""}",,raw_extraction,phase6_inventory_triage_only,not_model_input,,,Raw table/figure title candidate from PDF text extraction.
