table_role,bridge_action,generation_eligibility,downstream_status,source_artifact_count,missing_source_artifact_count,missing_source_artifacts,fallback_policy_present,caveat_fields_present,candidate_output_path,review_status,p11_3c_decision,p11_4a_requirement
stand_table,replace,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/stand_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
au_table,extend,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/au_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
curve_table,replace,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/curve_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
curve_points_table,replace,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/curve_points_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
stand_au_assignment,extend,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/stand_au_assignment.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
stand_origin_assignment,reuse,eligible_for_later_generated_scaffold,candidate_manifest_only,1,0,,True,True,data/mp11_model_input_bundle/stand_origin_assignment.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
treatment_table,reuse,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/treatment_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
transition_table,reuse,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/transition_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
harvest_system_table,defer,deferred_not_eligible,deferred_not_model_input,1,0,,True,True,,deferred_not_model_input,deferred_non_blocking,Carry as deferred comparison metadata only; do not generate a table.
group_table,extend,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/group_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
cedar_signal_table,extend,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/cedar_signal_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
embedded_identity_table,reuse,eligible_for_later_generated_scaffold,candidate_manifest_only,1,0,,True,True,data/mp11_model_input_bundle/embedded_identity_table.csv,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
export_compat_bridge,replace,eligible_for_later_generated_scaffold,candidate_manifest_only,2,0,,True,True,data/mp11_model_input_bundle/export_compat/bridge_manifest.json,reviewed_for_candidate_manifest,pass_candidate_scaffold,Verify candidate output role during P11.4a XML provenance audit.
