letterblock,archive_name,archive_url,listed_size_text,listed_size_bytes,md5_expected,md5_actual,md5_matches,sha256,archive_path,archive_size_bytes,dem_path,extracted,raster_readable,raster_driver,raster_crs,raster_width,raster_height,raster_count,raster_nodata,raster_bounds,error
092L,092l01_e.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l01_e.dem.zip,2.3M,2411724,82893352196439b2dba478de935256e6,82893352196439b2dba478de935256e6,True,d0356e64481d6c02da7fd3dbf7173a97f793f68cafc293b9535a7fd00a73b2d3,runtime/dem/p9d_public_dem/source/092L/092l01_e.dem.zip,2403534,runtime/dem/p9d_public_dem/source/092L/092l01_e.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-126.25010416666667, 49.99989583333333, -125.99989583333334, 50.25010416666667)",
092L,092l01_w.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l01_w.dem.zip,2.1M,2202009,cf7a4421a1715fd5f0df07bf22b54496,cf7a4421a1715fd5f0df07bf22b54496,True,ac3f3afb4bd60da24e5e247299a37e46e75c8e74fb5d256eac9dff02c8dbbdd5,runtime/dem/p9d_public_dem/source/092L/092l01_w.dem.zip,2192903,runtime/dem/p9d_public_dem/source/092L/092l01_w.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-126.50010416666667, 49.99989583333333, -126.24989583333334, 50.25010416666667)",
092L,092l02_e.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l02_e.dem.zip,2.2M,2306867,812e988de106e4112721b368232d6352,812e988de106e4112721b368232d6352,True,817caa542d3aa91d94192beb439006a2ae7c9e9930ab6c35cfe9ffbbb9f6f392,runtime/dem/p9d_public_dem/source/092L/092l02_e.dem.zip,2288722,runtime/dem/p9d_public_dem/source/092L/092l02_e.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-126.75010416666667, 49.99989583333333, -126.49989583333334, 50.25010416666667)",
092L,092l02_w.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l02_w.dem.zip,2.3M,2411724,bbb1954ab559491d181eb20517b8b839,bbb1954ab559491d181eb20517b8b839,True,a5885da7e0f52bcee23b23584e6dea3aa494f3721001f3086ee03b465e3d6a69,runtime/dem/p9d_public_dem/source/092L/092l02_w.dem.zip,2387466,runtime/dem/p9d_public_dem/source/092L/092l02_w.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-127.00010416666667, 49.99989583333333, -126.74989583333334, 50.25010416666667)",
092L,092l03_e.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l03_e.dem.zip,2.0M,2097152,0c61e31b97f53678d317d713c0dc9b1a,0c61e31b97f53678d317d713c0dc9b1a,True,d379f27b7a7ded4b2d7c6043b62e9ca50e3e7fe9a22f0ff7235b2a0ae5a004ec,runtime/dem/p9d_public_dem/source/092L/092l03_e.dem.zip,2100233,runtime/dem/p9d_public_dem/source/092L/092l03_e.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-127.25010416666667, 49.99989583333333, -126.99989583333334, 50.25010416666667)",
092L,092l03_w.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l03_w.dem.zip,1.7M,1782579,63ad651b28f728d01d9910ff99ed1871,63ad651b28f728d01d9910ff99ed1871,True,236f63c5fea477246243022fa8ceae106c5a4b9d15524b16ddfd587b0b53926c,runtime/dem/p9d_public_dem/source/092L/092l03_w.dem.zip,1819518,runtime/dem/p9d_public_dem/source/092L/092l03_w.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-127.50010416666667, 49.99989583333333, -127.24989583333334, 50.25010416666667)",
092L,092l04_e.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l04_e.dem.zip,1.1M,1153433,db9dbab81926c65f7f0efc877a4ce74d,db9dbab81926c65f7f0efc877a4ce74d,True,4c120ae6123d36c034055df0722af063f1224f626e16907a4d914e0f0b3fa0dd,runtime/dem/p9d_public_dem/source/092L/092l04_e.dem.zip,1166405,runtime/dem/p9d_public_dem/source/092L/092l04_e.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-127.75010416666667, 49.99989583333333, -127.49989583333334, 50.25010416666667)",
092L,092l04_w.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l04_w.dem.zip,577K,590848,189dab39f54c6b8369e4de1761615e21,189dab39f54c6b8369e4de1761615e21,True,f8d68cefe4c318b5d9ceaa74c30c68ffe86a4fb32b8258cf14a7f5686a3010ac,runtime/dem/p9d_public_dem/source/092L/092l04_w.dem.zip,590906,runtime/dem/p9d_public_dem/source/092L/092l04_w.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-128.00010416666666, 49.99989583333333, -127.74989583333333, 50.25010416666667)",
092L,092l05_e.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l05_e.dem.zip,2.1M,2202009,effc36d667cd5b7ced5fa0484f6c21f6,effc36d667cd5b7ced5fa0484f6c21f6,True,ef1db62a7d201021a9bfa44c890d22ad65085862edd225224be6c03cff926ecd,runtime/dem/p9d_public_dem/source/092L/092l05_e.dem.zip,2201181,runtime/dem/p9d_public_dem/source/092L/092l05_e.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-127.75010416666667, 50.24989583333333, -127.49989583333334, 50.50010416666667)",
092L,092l05_w.dem.zip,https://pub.data.gov.bc.ca/datasets/175624/92L/092l05_w.dem.zip,1.3M,1363148,c8952e35a7d7d8a8c35a994475597e84,c8952e35a7d7d8a8c35a994475597e84,True,e6637b7491eaf093863c11737e9e1d612292fb232edd8e3e495968fca9cf0b65,runtime/dem/p9d_public_dem/source/092L/092l05_w.dem.zip,1410274,runtime/dem/p9d_public_dem/source/092L/092l05_w.dem,True,True,USGSDEM,EPSG:4269,1201,1201,1,-32767.0,"(-128.00010416666666, 50.24989583333333, -127.74989583333333, 50.50010416666667)",
