mp11_au_code,mp11_feature_id,mp11_tipsy_review_status,mp11_tipsy_comparison_class,vdyp_au_id,vdyp_natural_curve_status,vdyp_selected_path,vdyp_source_stand_count,tipsy_max_volume,vdyp_max_volume,tipsy_to_vdyp_max_ratio,tipsy_age_at_max_volume,vdyp_age_at_max_volume,tipsy_volume_age_100,vdyp_volume_age_100,tipsy_to_vdyp_age_100_ratio,common_age_rmse,common_age_mean_delta,diagnostic_class,review_status,model_input_status,plot_path,plot_exists,plot_size_bytes
FMH01,611403,tentatively_passed_review,large_difference_review_required,cwhvm2_hw_ba_l,selected_curve_family_available,smoothed_bin_pchip,434,783.1,920.312,0.851,350,150,316.2,757.266,0.418,294.635,-221.935,tipsy_substantially_below_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fmh01_tipsy-vs-vdyp-cwhvm2-hw-ba-l.png,True,100586
FMH22,611413,tentatively_passed_review,large_difference_review_required,cwhvm2_hw_ba_l,selected_curve_family_available,smoothed_bin_pchip,434,769.4,920.312,0.836,350,150,282.0,757.266,0.372,317.305,-246.732,tipsy_substantially_below_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fmh22_tipsy-vs-vdyp-cwhvm2-hw-ba-l.png,True,100584
Fvh101,611143,tentatively_passed_review,large_difference_review_required,cwhvh1_cw_hw_m,selected_curve_family_available,smoothed_bin_pchip,118,767.3,656.797,1.168,270,170,464.8,480.752,0.967,101.369,47.297,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh101_tipsy-vs-vdyp-cwhvh1-cw-hw-m.png,True,98790
Fvh103,611153,tentatively_passed_review,large_difference_review_required,cwhvh1_cw_hw_l,selected_curve_family_available,smoothed_bin_pchip,172,220.3,613.123,0.359,350,165,70.1,462.348,0.152,336.857,-309.94,tipsy_substantially_below_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh103_tipsy-vs-vdyp-cwhvh1-cw-hw-l.png,True,94335
Fvh104,611163,tentatively_passed_review,moderate_difference_review_required,cwhvh1_hw_ss_m,selected_curve_family_available,smoothed_bin_pchip,34,1278.1,978.448,1.306,320,165,792.4,741.744,1.068,250.429,169.274,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh104_tipsy-vs-vdyp-cwhvh1-hw-ss-m.png,True,98979
Fvh104s,611173,tentatively_passed_review,moderate_difference_review_required,cwhvh1_cw_hw_h,selected_curve_family_available,smoothed_bin_pchip,138,1179.0,797.605,1.478,260,175,754.4,618.859,1.219,287.486,239.479,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh104s_tipsy-vs-vdyp-cwhvh1-cw-hw-h.png,True,96122
Fvh106,611183,tentatively_passed_review,moderate_difference_review_required,cwhvh1_hw_ba_h,selected_curve_family_available,smoothed_bin_pchip,57,1496.5,1069.186,1.4,260,165,1016.3,852.059,1.193,387.909,297.923,tipsy_substantially_above_vdyp,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh106_tipsy-vs-vdyp-cwhvh1-hw-ba-h.png,True,99301
Fvh108,611193,tentatively_passed_review,large_difference_review_required,cwhvh1_hw_cw_h,selected_curve_family_available,smoothed_bin_pchip,96,1305.9,1040.455,1.255,310,165,903.3,827.931,1.091,252.236,198.472,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh108_tipsy-vs-vdyp-cwhvh1-hw-cw-h.png,True,98245
Fvh113,611203,tentatively_passed_review,large_difference_review_required,cwhvh1_cw_hw_m,selected_curve_family_available,smoothed_bin_pchip,118,750.0,656.797,1.142,270,170,455.7,480.752,0.948,91.89,35.811,tipsy_vdyp_close,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvh113_tipsy-vs-vdyp-cwhvh1-cw-hw-m.png,True,96721
Fvm101,611213,tentatively_passed_review,moderate_difference_review_required,cwhvm2_ba_hw_h,selected_curve_family_available,smoothed_bin_pchip,36,1541.7,1197.499,1.287,320,170,1067.9,976.344,1.094,233.398,184.626,tipsy_vdyp_moderate_difference,p10r5_tipsy_vdyp_diagnostic_review_required,not_model_input,plots/mp11_tipsy_vdyp_diagnostics/mp11-fvm101_tipsy-vs-vdyp-cwhvm2-ba-hw-h.png,True,96483
